,min,max
HRV_CVNN,0.026398879116336517,0.7692056854059683
HRV_CVSD,0.024353671693181086,1.1083493106626223
HRV_HF,0.0,0.21047252174484488
HRV_HFn,0.0,0.9985899428138315
HRV_HTI,3.4166666666666665,31.333333333333332
HRV_IQRNN,16.0,412.0
HRV_LnHF,-7.132085922540743,0.0
HRV_MCVNN,0.018303703703703704,0.48184499999999997
HRV_MadNN,11.8608,308.38079999999997
HRV_MaxNN,600.0,4088.0
HRV_MeanNN,527.709090909091,961.8666666666667
HRV_MedianNN,464.0,988.0
HRV_MinNN,312.0,840.0
HRV_Prc20NN,379.2,920.0
HRV_Prc80NN,556.8000000000001,1076.8
HRV_RMSSD,14.319958955590478,933.8820897606707
HRV_SDNN,16.61522496035163,651.8377749474826
HRV_SDRMSSD,0.536108424562658,2.49024452160922
HRV_SDSD,14.459890572689327,948.2505103099236
HRV_TINN,0.0,679.6875
HRV_TP,0.0,0.2667784731163112
HRV_VHF,0.0,0.07057854630782873
HRV_pNN20,10.0,97.72727272727273
HRV_pNN50,0.0,97.36842105263158
